,SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,Price Per SQFT,HOA Per Month,STATUS,URL,SOURCE,MLS,LATITUDE,LONGITUDE,SHAPE
155,MLS Listing,Condo/Co-op,769 Hayes St #208,Seattle,WA,98109,349988,1,1,South Lake Union,555,11384,1989,6,631,268,Active,http://www.redfin.com/WA/Seattle/769-Hayes-St-98109/unit-208/home/36513,NWMLS,1684519,47.6337511,-122.3414514,"{'spatialReference': {'wkid': 4326}, 'x': -122.3414514, 'y': 47.6337511}"
156,MLS Listing,Condo/Co-op,9512 1st Ave NE #207,Seattle,WA,98115,339950,2,1,Northgate,998,10796,1982,7,341,397,Active,http://www.redfin.com/WA/Seattle/9512-1st-Ave-NE-98115/unit-207/home/45430,NWMLS,1685795,47.6980151,-122.3278604,"{'spatialReference': {'wkid': 4326}, 'x': -122.3278604, 'y': 47.6980151}"
161,MLS Listing,Townhouse,303 SW 112th St Unit D412,Seattle,WA,98146,348000,3,2.5,Burien,1222,10796,1980,14,285,394,Active,http://www.redfin.com/WA/Seattle/303-SW-112th-St-98146/unit-D412/home/173567580,NWMLS,1683715,47.5025843,-122.3379596,"{'spatialReference': {'wkid': 4326}, 'x': -122.3379596, 'y': 47.5025843}"
168,MLS Listing,Condo/Co-op,4710 Dayton Ave N #8,Seattle,WA,98103,350000,1,1,Fremont,600,10796,1957,21,583,387,Active,http://www.redfin.com/WA/Seattle/4710-Dayton-Ave-N-98103/unit-8/home/2087603,NWMLS,1676997,47.6633672,-122.3525441,"{'spatialReference': {'wkid': 4326}, 'x': -122.3525441, 'y': 47.6633672}"
174,MLS Listing,Condo/Co-op,425 23rd Ave S Unit A406,Seattle,WA,98144,319000,1,1,Judkins,567,22471,2004,27,563,278,Active,http://www.redfin.com/WA/Seattle/425-23rd-Ave-S-98144/unit-A406/home/2097595,NWMLS,1678411,47.5982675,-122.3025545,"{'spatialReference': {'wkid': 4326}, 'x': -122.3025545, 'y': 47.5982675}"
177,MLS Listing,Condo/Co-op,6970 California Ave SW Unit B301,Seattle,WA,98136,325000,1,1,Gatewood,666,10796,1989,32,488,337,Active,http://www.redfin.com/WA/Seattle/6970-California-Ave-SW-98136/unit-B301/home/12537768,NWMLS,1676237,47.5410871,-122.3867872,"{'spatialReference': {'wkid': 4326}, 'x': -122.3867872, 'y': 47.54108710000001}"
183,MLS Listing,Condo/Co-op,3657 Francis Ave N #302,Seattle,WA,98103,349250,1,1,Fremont,537,9995,1969,44,650,232,Active,http://www.redfin.com/WA/Seattle/3657-Francis-Ave-N-98103/unit-302/home/2117717,NWMLS,1670305,47.6537807,-122.3537265,"{'spatialReference': {'wkid': 4326}, 'x': -122.3537265, 'y': 47.65378070000001}"
191,MLS Listing,Condo/Co-op,7311 15th Ave NW #201,Seattle,WA,98117,329500,1,1,Loyal Heights,655,4460,2004,56,503,155,Active,http://www.redfin.com/WA/Seattle/7311-15th-Ave-NW-98117/unit-201/home/32399,NWMLS,1661178,47.6817622,-122.3771373,"{'spatialReference': {'wkid': 4326}, 'x': -122.3771373, 'y': 47.6817622}"
192,MLS Listing,Condo/Co-op,8415 5th Ave NE #102,Seattle,WA,98115,322950,1,1,Maple Leaf,754,11160,1974,63,428,191,Active,http://www.redfin.com/WA/Seattle/8415-5th-Ave-NE-98115/unit-102/home/28205,NWMLS,1661229,47.6901862,-122.323376,"{'spatialReference': {'wkid': 4326}, 'x': -122.323376, 'y': 47.6901862}"
194,MLS Listing,Condo/Co-op,1410 E Pine St Unit W223,Seattle,WA,98122,325000,1,1,Capitol Hill,557,49640,2005,65,583,367,Active,http://www.redfin.com/WA/Seattle/1410-E-Pine-St-98122/unit-W223/home/2116005,NWMLS,1656341,47.6154204,-122.3140886,"{'spatialReference': {'wkid': 4326}, 'x': -122.3140886, 'y': 47.6154204}"
